date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:00	177859/177859	---M-Z	200	added ('OK')	text/html	etag:%22506-2b6c3-63bda1a147443-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html	(from )
16:01:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Feb%202026%2011:01:01%20GMT	https://adminuiux.com/robots.txt		(from )
16:01:05	2654/2654	---M--	200	added ('OK')	image/png	etag:%22e8f-a5e-63b5eea009482%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/img/favicon.png	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/img/favicon.png	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:06	2232697/2232697	---MCZ	200	added ('OK')	text/javascript	etag:%2298a-221179-63b5ee9d6482d-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/js/app.js?bd1e16b080f637e63a80	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/js/app8051.js	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:07	737443/737443	---MCZ	200	added ('OK')	text/css	etag:%2291d-b40a3-63b61cfd49a53-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/css/app.css?bd1e16b080f637e63a80	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/css/app8051.css	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:08	79346/79346	---M--	200	added ('OK')	image/jpeg	etag:%22322f-135f2-63b5eeede8f64%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/img/modern-ai-image/user-4.jpg	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/img/modern-ai-image/user-4.jpg	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:08	1649349/1649349	---M--	200	added ('OK')	image/svg+xml	etag:%22ea3-192ac5-63b5eea477562%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/img/logo-light.svg	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/img/logo-light.svg	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:08	1649349/1649349	---M--	200	added ('OK')	image/svg+xml	etag:%221558-192ac5-63b5eea332de0%22	https://adminuiux.com/adminuiux/adminux-mobile/html/assets/img/logo.svg	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/assets/img/logo.svg	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:09	234886/234886	---M-Z	200	added ('OK')	text/html	etag:%2250c-39586-63bda1a12e9b9-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-dashboard.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:09	238132/238132	---M-Z	200	added ('OK')	text/html	etag:%2250a-3a234-63bda1a2dad6a-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-bank.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-bank.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:09	251668/251668	---M-Z	200	added ('OK')	text/html	etag:%2250b-3d714-63bda1a0f57a4-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-crypto.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-crypto.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:09	263426/263426	---M-Z	200	added ('OK')	text/html	etag:%2250e-40502-63bda1a256c18-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-wallet.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-wallet.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:10	156781/156781	---M-Z	200	added ('OK')	text/html	etag:%2250d-2646d-63bda1a4ae21e-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-rewards.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-finance-rewards.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:10	284185/284185	---M-Z	200	added ('OK')	text/html	etag:%2251c-45619-63bda1a51bff6-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-dashboard.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:10	194023/194023	---M-Z	200	added ('OK')	text/html	etag:%2251e-2f5e7-63bda1a534e68-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-performance.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-performance.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:10	358870/358870	---M-Z	200	added ('OK')	text/html	etag:%2251d-579d6-63bda1a535e08-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-devices.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-network-devices.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:11	175332/175332	---M-Z	200	added ('OK')	text/html	etag:%2252c-2ace4-63bda1ac9889a-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-dashboard.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:11	147028/147028	---M-Z	200	added ('OK')	text/html	etag:%2252b-23e54-63bda1a9852b5-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-analytics.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-analytics.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:11	201290/201290	---M-Z	200	added ('OK')	text/html	etag:%2252d-3124a-63bda1acce3fe-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-schedular.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-social-schedular.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:11	237331/237331	---M-Z	200	added ('OK')	text/html	etag:%22512-39f13-63bda1a33cbd9-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-dashboard.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:12	202167/202167	---M-Z	200	added ('OK')	text/html	etag:%22515-315b7-63bda1a36f475-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-stock.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-stock.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:12	181020/181020	---M-Z	200	added ('OK')	text/html	etag:%22514-2c31c-63bda1a341612-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-orders.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-inventory-orders.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
16:01:12	214560/214560	---M-Z	200	added ('OK')	text/html	etag:%22527-34620-63bda1a8cd927-gzip%22	https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-project-dashboard.html	D:/5/cloudstore2/adminuiux.com/adminuiux/adminux-mobile/html/adminux-project-dashboard.html	(from https://adminuiux.com/adminuiux/adminux-mobile/html/adminux-dashboard.html)
